id,name,periodstart,type
gizeh,GIZEH,2022,1
fynn,Fynn Kliemann,,4
agantty,Agantty GmbH,2015,2
fkvv,FKVV GmbH,2020,2
floss,Floss weg hier 111 GmbH,2020,2
oderso,O.D.E.R.S.O. Gmbh,2020,2
texas,T.E.X.A.S. Holding GmbH,2020,2
twofingers,twoFingers Records GmbH,2018,2
kliemannsland,Kliemannsland GmbH,2015,2
herrlich,Herrlich Media GmbH,2011,2
ldgg,LDGG Immobilien GmbH,2020,2
bottmann,Florian Bottman,2011,3
orthmann,Bastian Orthmann,2022,3
tietjen,Niklas Tietjen,2018,3
